"TC_ID","SC_Ref","Reference","Feature","Module","Title","Type","Priority","Precondition","Steps","Expected","Note","Status R1","Tester R1","Date R1"
"US08-TC-001","SC-01","Mục ""Yêu cầu nghiệp vụ"" – ""hệ thống hiển thị màn hình Thêm mới Biểu phí với các thông tin được sao chép toàn bộ""","US08 – Sao chép Biểu phí","Khởi tạo sao chép","Sao chép biểu phí ở trạng thái 'Đang hiệu lực' — Hệ thống pre-fill đầy đủ dữ liệu trên form Thêm mới","Happy Path","High","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Tồn tại biểu phí 'BP-GOCSAO01' ở trạng thái 'Đang hiệu lực', có Code phí 'CP001', 'CP002' đã duyệt.","1. Truy cập Tham số >> Danh mục biểu phí >> Lưới danh sách biểu phí.
2. Tại dòng biểu phí 'BP-GOCSAO01', nhấn nút 'Sao chép' tại cột Hành động.
3. Quan sát màn hình Thêm mới Biểu phí hiển thị.","(i) Nghiệp vụ/Logic: Hệ thống mở màn hình Thêm mới Biểu phí với toàn bộ Thông tin chung (Mã = 'BP-GOCSAO01', Tên, Ngày hiệu lực, Ngày hết hiệu lực, Ghi chú) và Thông tin chi tiết (Code phí CP001, CP002) được sao chép nguyên giá trị từ biểu phí gốc.
(ii) UI: Màn hình Thêm mới Biểu phí hiển thị với layout giống US06. Toàn bộ trường ở trạng thái Editable. Lưới Code phí hiển thị đầy đủ 2 dòng CP001, CP002.","","Fail","Thương",""
"US08-TC-002","SC-02","BA xác nhận QA-01.2: 'được phép sao chép ở tất cả các trạng thái hoạt động bao gồm = Chưa hiệu lực'","US08 – Sao chép Biểu phí","Khởi tạo sao chép","Sao chép biểu phí ở trạng thái 'Chưa hiệu lực' — Dữ liệu pre-fill đầy đủ","Happy Path","High","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Tồn tại biểu phí 'BP-CHUAHL01' ở trạng thái 'Chưa hiệu lực' (Ngày hiệu lực trong tương lai).","1. Truy cập Tham số >> Danh mục biểu phí.
2. Tại dòng biểu phí 'BP-CHUAHL01', nhấn nút 'Sao chép' tại cột Hành động.
3. Quan sát màn hình Thêm mới Biểu phí.","(i) Nghiệp vụ/Logic: Hệ thống mở màn hình Thêm mới với toàn bộ dữ liệu pre-fill từ biểu phí gốc 'BP-CHUAHL01'.
(ii) UI: Màn hình Thêm mới hiển thị đúng. Toàn bộ trường Editable. User có thể chỉnh sửa các trường cần thiết.","","Fail","",""
"US08-TC-003","SC-03","BA xác nhận QA-01.2: 'được phép sao chép ở tất cả các trạng thái hoạt động bao gồm = Hết hiệu lực'","US08 – Sao chép Biểu phí","Khởi tạo sao chép","Sao chép biểu phí ở trạng thái 'Hết hiệu lực' — Dữ liệu pre-fill đầy đủ, user sửa ngày hiệu lực mới","Happy Path","High","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Tồn tại biểu phí 'BP-HETHL01' ở trạng thái 'Hết hiệu lực' (Ngày hết hiệu lực < ngày hiện tại).","1. Truy cập Tham số >> Danh mục biểu phí.
2. Tại dòng biểu phí 'BP-HETHL01', nhấn nút 'Sao chép' tại cột Hành động.
3. Quan sát màn hình Thêm mới Biểu phí hiển thị với dữ liệu pre-fill.","(i) Nghiệp vụ/Logic: Hệ thống mở màn hình Thêm mới với toàn bộ dữ liệu pre-fill từ biểu phí gốc 'BP-HETHL01', kể cả Ngày hiệu lực/Hết hiệu lực quá khứ.
(ii) UI: Màn hình Thêm mới hiển thị đúng. Toàn bộ trường Editable. User có thể sửa Ngày hiệu lực mới để biểu phí clone có hiệu lực trong tương lai.","","Fail","",""
"US08-TC-004","SC-04","BA xác nhận QA-03.2: 'sao chép toàn bộ Code phí thuộc Biểu phí mà không phụ thuộc vào trạng thái của Code phí'","US08 – Sao chép Biểu phí","Khởi tạo sao chép","Sao chép biểu phí có danh sách nhiều Code phí — Toàn bộ Code phí được load lên lưới chi tiết","Happy Path","High","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Tồn tại biểu phí 'BP-NHIEUCF' có 5 Code phí: CP101~CP105, bao gồm cả Code phí ở các trạng thái khác nhau.","1. Truy cập Tham số >> Danh mục biểu phí.
2. Tại dòng biểu phí 'BP-NHIEUCF', nhấn nút 'Sao chép' tại cột Hành động.
3. Quan sát lưới Thông tin chi tiết (Code phí) trên form Thêm mới.","(i) Nghiệp vụ/Logic: Hệ thống sao chép toàn bộ 5 Code phí (CP101~CP105) bất kể trạng thái. Lưới chi tiết hiển thị đầy đủ 5 dòng.
(ii) UI: Lưới chi tiết hiển thị 5 Code phí. User có thể Thêm/Sửa/Xóa các dòng Code phí trước khi nhấn 'Xác nhận'.","","Fail","",""
"US08-TC-005","SC-05","Mục ""Yêu cầu nghiệp vụ"" – ""bản ghi Biểu phí sẽ ở trạng thái chờ duyệt với hành động là Thêm mới""","US08 – Sao chép Biểu phí","Xác nhận / Đóng","Xác nhận bản clone thành công — Bản ghi ở trạng thái 'Chờ duyệt', hành động = 'Thêm mới'","Happy Path","Critical","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Đã nhấn 'Sao chép' biểu phí gốc 'BP-GOCSAO01' → Form Thêm mới hiển thị với dữ liệu pre-fill.","1. Trên form Thêm mới (clone), sửa Mã biểu phí = 'BP-CLONE01' (unique).
2. Giữ nguyên hoặc chỉnh sửa các trường khác theo nhu cầu.
3. Nhấn nút 'Xác nhận'.
4. Quan sát kết quả.","--- TRƯỚC KHI DUYỆT (MAKER) ---
(i) Nghiệp vụ/Logic: Hệ thống validate theo US06 thành công. Bản ghi 'BP-CLONE01' được lưu ở trạng thái 'Chờ duyệt', hành động = 'Thêm mới'.
(ii) UI: Toast 'Thêm mới thành công'. Bản ghi hiển thị tại màn hình Tác vụ Pending của tôi.","Luồng Maker-Checker QTC-12","Fail","",""
"US08-TC-006","SC-06","Mục ""Yêu cầu nghiệp vụ"" – ""chỉ hiển thị trên lưới Danh mục Biểu phí sau khi cấp duyệt cuối cùng phê duyệt""","US08 – Sao chép Biểu phí","Xác nhận / Đóng","Last Checker phê duyệt bản clone — Biểu phí chính thức hiển thị trên lưới Danh mục","Happy Path","Critical","1. User Checker đăng nhập với quyền phê duyệt trên chức năng Biểu phí.
2. Bản ghi 'BP-CLONE01' đang ở trạng thái 'Chờ duyệt', hành động = 'Thêm mới' tại Tác vụ chờ duyệt.","1. Truy cập màn hình Tác vụ chờ duyệt.
2. Tại dòng bản ghi 'BP-CLONE01', nhấn nút 'Phê duyệt'.
3. Xác nhận phê duyệt.
4. Truy cập Tham số >> Danh mục biểu phí >> Kiểm tra lưới.","--- SAU KHI LAST CHECKER DUYỆT ---
(i) Nghiệp vụ/Logic: Hệ thống lưu dữ liệu chính thức. Bản ghi 'BP-CLONE01' cập nhật trạng thái = 'Đã duyệt'.
(ii) UI: Toast 'Phê duyệt thành công'. Bản ghi tại màn hình Tác vụ chờ duyệt cập nhật trạng thái Đã duyệt. Biểu phí 'BP-CLONE01' hiển thị trên lưới Danh mục Biểu phí.","E2E: nối tiếp US08-TC-005","Pass","",""
"US08-TC-007","SC-07","Mục ""Yêu cầu nghiệp vụ"" – ""Nếu người dùng nhấn Đóng, hệ thống thoát khỏi màn hình Thêm mới""; [QTC-15]","US08 – Sao chép Biểu phí","Xác nhận / Đóng","Nhấn 'Đóng' trên form Thêm mới (sao chép) — Không lưu, không popup, điều hướng về lưới","Happy Path","Medium","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Đã nhấn 'Sao chép' biểu phí gốc → Form Thêm mới hiển thị.
3. User đã chỉnh sửa một số trường trên form (có unsaved changes).","1. Trên form Thêm mới (clone), nhấn nút 'Đóng'.
2. Quan sát hành vi hệ thống.","(i) Nghiệp vụ/Logic: Hệ thống KHÔNG lưu dữ liệu đã nhập/chỉnh sửa. Dữ liệu bị discard.
(ii) UI: Hệ thống KHÔNG hiển thị popup xác nhận (theo QTC-15). Điều hướng về màn hình Danh mục Biểu phí. Không có bản ghi mới nào được tạo.","[QTC-15] Không popup xác nhận khi Đóng","Pass","",""
"US08-TC-008","SC-08","Mục ""Yêu cầu nghiệp vụ"" – ""tham chiếu tới US07 về upload file excel code phí ở 1 biểu phí""","US08 – Sao chép Biểu phí","Xác nhận / Đóng","Upload file Excel Code phí trên form bản clone — Hệ thống validate file và cập nhật lưới chi tiết","Happy Path","High","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Đã nhấn 'Sao chép' biểu phí gốc → Form Thêm mới hiển thị.
3. Chuẩn bị file Excel 'CodePhi_Upload.xlsx' với dữ liệu Code phí hợp lệ (format theo US07).","1. Trên form Thêm mới (clone), nhấn nút 'Upload file Excel' tại lưới Thông tin chi tiết.
2. Chọn file 'CodePhi_Upload.xlsx'.
3. Quan sát kết quả upload.","(i) Nghiệp vụ/Logic: Hệ thống validate file theo US07 (format .xlsx, dữ liệu hợp lệ). Danh sách Code phí từ file được thêm/thay thế trên lưới chi tiết.
(ii) UI: Lưới Thông tin chi tiết hiển thị các Code phí từ file upload. Không có dòng lỗi (dữ liệu hợp lệ). User có thể tiếp tục chỉnh sửa hoặc nhấn 'Xác nhận'.","Tham chiếu US07 validate file [QTC-07]","Cancel","",""
"US08-TC-009","SC-09","Mục ""Yêu cầu nghiệp vụ"" – ""hệ thống kiểm tra các điều kiện và ràng buộc tương tự như khi thêm mới""; Tham chiếu US06 validate","US08 – Sao chép Biểu phí","Xác nhận / Đóng","Bỏ trống từng trường bắt buộc trên form clone rồi Xác nhận — FE chặn và hiển thị lỗi","Negative Path","High","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Đã nhấn 'Sao chép' biểu phí gốc → Form Thêm mới hiển thị với dữ liệu pre-fill.","1. Trên form Thêm mới (clone), xóa trống trường bắt buộc 'Tên biểu phí' (để trống).
2. Nhấn nút 'Xác nhận'.
3. Quan sát thông báo lỗi.","(i) Nghiệp vụ/Logic: Hệ thống KHÔNG cho phép lưu. FE chặn do trường bắt buộc bị bỏ trống.
(ii) UI: Hiển thị thông báo lỗi inline ""Trường này bắt buộc"" ngay dưới trường 'Tên biểu phí'. Highlight trường lỗi. [QTC-11 FE-First]","Validate theo US06. Tách riêng từng trường bắt buộc.","Pass","",""
"US08-TC-010","SC-10","BA xác nhận QA-01.6: 'Mã Biểu phí do người dùng nhập'; Validate Mã trùng tham chiếu US06","US08 – Sao chép Biểu phí","Xác nhận / Đóng","Nhập Mã biểu phí trùng với biểu phí đã tồn tại rồi Xác nhận — Hệ thống báo lỗi Mã trùng","Negative Path","High","1. User đăng nhập với quyền Maker trên chức năng Biểu phí.
2. Đã nhấn 'Sao chép' biểu phí gốc 'BP-GOCSAO01' → Form Thêm mới hiển thị.
3. Tồn tại biểu phí khác có Mã = 'BP-DACOTRUNG' đã duyệt trên hệ thống.","1. Trên form Thêm mới (clone), nhập Mã biểu phí = 'BP-DACOTRUNG' (trùng với biểu phí đã tồn tại).
2. Nhấn nút 'Xác nhận'.
3. Quan sát thông báo lỗi.","(i) Nghiệp vụ/Logic: Hệ thống KHÔNG cho phép lưu. Validate phát hiện Mã biểu phí trùng.
(ii) UI: Hiển thị thông báo lỗi tại trường 'Mã biểu phí': Mã đã tồn tại. [QTC-11 FE-First]","Validate Mã unique tham chiếu US06","Pass","",""
